model_name,price
"Lenovo IdeaPad 3 Series 15ADA05 Ua (AMD Ryzen3 3000U Series 15.6 Inch)","₹24999"
"Lenovo Lenovo V Series V15 G4 AMN (AMD Ryzen5 7000U Series 15.6 Inch)","₹25999"
"Lenovo IdeaPad 5 Series 14ITL05 (Intel Core i5 11th Gen 14 Inch)","₹26799"
"Lenovo ideapad Slim 5 Series 16IAH8 (Intel Core i5 12th Gen 16 Inch)","₹34999"
"Lenovo IdeaPad 3 Series 15ITL6 (Intel Core i5 11th Gen 15.6 Inch)","₹29199"
"Lenovo Lenovo V Series V15-IIL (Intel Core i5 10th Gen 15.6 Inch)","₹29999"
"Lenovo IdeaPad Flex 5 Series 14IAU7 Touch screen (Intel Core i5 12th Gen 14 Inch)","₹34999"
"Lenovo Thinkpad T Series T490 (Touch Screen) (Intel Core i7 8th Gen 14 Inch)","₹23999"
"Lenovo IdeaPad 5 Pro Series 14ITL6 (Intel Core i7 11th Gen 14 Inch)","₹39999"
"Lenovo Lenovo V Series V330-14ARR (AMD Ryzen 3 2000U SERIES 14 Inch)","₹19999"
"Lenovo Yoga 900 Series s940-14IIL (Intel Core i7 10th Gen 14 Inch)","₹35999"
"Lenovo Thinkpad X Series X390 Touch Screen (Intel Core i7 8th Gen 13.3 Inch)","₹23999"
